Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,64.089996,65.040001,64.029999,64.519997,64.519997,12831500
2022-08-02,64.589996,64.599998,63.430000,63.639999,63.639999,15241900
2022-08-03,63.549999,64.099998,63.310001,63.919998,63.919998,11317000
2022-08-04,63.639999,63.730000,62.919998,63.669998,63.669998,11795600
2022-08-05,63.630001,63.630001,62.669998,63.380001,63.380001,10445400
2022-08-08,63.500000,63.810001,62.750000,62.970001,62.970001,9165200
2022-08-09,63.180000,63.310001,62.849998,63.049999,63.049999,7910900
2022-08-10,63.630001,63.790001,63.099998,63.650002,63.650002,8857300
2022-08-11,63.689999,63.990002,63.080002,63.220001,63.220001,8507800
2022-08-12,63.430000,63.759998,63.090000,63.700001,63.700001,9489300
2022-08-15,63.639999,64.690002,63.570000,64.500000,64.500000,9863300
2022-08-16,64.570000,65.230003,64.330002,65.029999,65.029999,9569600
2022-08-17,64.830002,65.220001,64.760002,64.879997,64.879997,8144000
2022-08-18,64.959999,65.349998,64.709999,65.220001,65.220001,6532000
2022-08-19,65.209999,65.470001,64.959999,65.169998,65.169998,8921100
2022-08-22,64.839996,64.919998,63.990002,64.199997,64.199997,9087900
2022-08-23,63.820000,64.370003,63.680000,64.269997,64.269997,8443800
2022-08-24,64.239998,64.580002,64.050003,64.360001,64.360001,6844700
2022-08-25,64.360001,64.709999,63.900002,64.669998,64.669998,7913900
2022-08-26,64.730003,64.800003,62.980000,63.110001,63.110001,10089500
2022-08-29,62.689999,63.029999,62.410000,62.730000,62.730000,9115900
2022-08-30,62.910000,62.910000,61.990002,62.150002,62.150002,8456800
